datetime_jst,symbol,signal_type,entry_price,exit_price,exit_reason,pnl_yen_100_shares,market_regime,rising_ratio,topix_pct,entry_vwap_distance_pct,high_update_count_before_entry,skipped,skip_reason
2026-05-08 10:21:00,6890.T,BASE,9499.4900,9460.0000,RECENT_5M_LOW_BREAK_EARLY,-3953.37,WEAK,0.520000,-0.123426,1.107427,1,false,
2026-05-08 10:13:00,5016.T,BASE,5214.2090,5222.0000,,,WEAK,0.480000,-0.123426,1.275585,1,true,REGIME_FILTER_RISING_LT50
2026-05-08 10:18:00,6526.T,BASE,2146.6445,2147.5000,,,NORMAL,0.480000,-0.098740,2.124595,2,true,REGIME_FILTER_RISING_LT50
2026-05-08 10:18:00,9412.T,BASE,3653.6500,3655.0000,,,NORMAL,0.480000,-0.098740,1.106572,2,true,REGIME_FILTER_RISING_LT50
2026-05-08 10:20:00,6315.T,BASE,3313.3100,3315.0000,,,WEAK,0.440000,-0.148113,1.295112,0,true,REGIME_FILTER_RISING_LT50
2026-05-08 10:49:00,6315.T,BASE,3298.2950,3300.0000,,,WEAK,0.400000,-0.345592,0.738227,0,true,REGIME_FILTER_RISING_LT50
2026-05-08 12:31:00,6315.T,BASE,3288.2850,3295.0000,,,NORMAL,0.400000,-0.271539,1.089088,2,true,REGIME_FILTER_RISING_LT50
2026-05-08 12:39:00,9412.T,BASE,3668.6650,3670.0000,,,WEAK,0.320000,-0.074060,1.103946,0,true,REGIME_FILTER_RISING_LT50
2026-05-08 12:40:00,5016.T,BASE,5212.2070,5221.0000,,,WEAK,0.320000,-0.024687,0.543789,0,true,REGIME_FILTER_RISING_LT50
2026-05-08 12:46:00,5016.T,BASE,5242.2370,5244.0000,,,NORMAL,0.440000,0.000000,0.975436,2,true,REGIME_FILTER_RISING_LT50
2026-05-08 12:51:00,6315.T,BASE,3308.3050,3310.0000,,,WEAK,0.400000,0.000000,1.538925,1,true,REGIME_FILTER_RISING_LT50
2026-05-08 13:00:00,7012.T,BASE,3275.2720,3298.0000,,,WEAK,0.440000,0.049366,0.986895,0,true,REGIME_FILTER_RISING_LT50
2026-05-08 13:00:00,7013.T,BASE,3111.1080,3219.0000,,,WEAK,0.440000,0.049366,5.138774,0,true,REGIME_FILTER_RISING_LT50
2026-05-08 13:33:00,5016.T,BASE,5253.2480,5272.0000,RECENT_5M_LOW_BREAK_EARLY,1875.83,WEAK,0.520000,0.123426,1.156087,1,false,
2026-05-08 13:50:00,6501.T,BASE,4953.9490,4955.0000,,,WEAK,0.480000,0.098740,0.784970,0,true,REGIME_FILTER_RISING_LT50
2026-05-08 13:51:00,5016.T,BASE,5272.2670,5276.0000,,,WEAK,0.480000,0.098740,1.483339,1,true,REGIME_FILTER_RISING_LT50
2026-05-08 13:51:00,7012.T,BASE,3309.3060,3311.0000,,,WEAK,0.480000,0.098740,1.133182,1,true,REGIME_FILTER_RISING_LT50
2026-05-08 13:53:00,9412.T,BASE,3688.6850,3695.0000,,,WEAK,0.480000,0.123426,1.326397,0,true,REGIME_FILTER_RISING_LT50
2026-05-08 14:08:00,6501.T,BASE,4963.9590,4966.0000,,,WEAK,0.400000,0.049366,0.999729,0,true,REGIME_FILTER_RISING_LT50
2026-05-08 14:20:00,5016.T,BASE,5288.2830,5299.0000,,,WEAK,0.440000,0.123426,1.876730,1,true,REGIME_FILTER_RISING_LT50
2026-05-08 14:24:00,9412.T,BASE,3708.7050,3710.0000,,,WEAK,0.440000,0.123426,1.295190,1,true,REGIME_FILTER_RISING_LT50
2026-05-08 14:37:00,6315.T,BASE,3333.3300,3335.0000,,,WEAK,0.400000,0.148113,2.015174,1,true,REGIME_FILTER_RISING_LT50
2026-05-08 14:44:00,6315.T,BASE,3343.3400,3345.0000,,,WEAK,0.440000,0.049366,2.316581,1,true,REGIME_FILTER_RISING_LT50
2026-05-08 14:51:00,9412.T,BASE,3688.6850,3695.0000,,,WEAK,0.480000,0.148113,0.873057,1,true,REGIME_FILTER_RISING_LT50
2026-05-08 15:07:00,6315.T,BASE,3358.3550,3360.0000,,,NORMAL,0.560000,0.123426,2.733806,2,true,ENTRY_FILTER_VWAP_DIST>2%
2026-05-08 15:03:00,5016.T,BASE,5349.3440,5350.0000,,,NORMAL,0.560000,0.123426,2.704818,2,true,ENTRY_FILTER_VWAP_DIST>2%
2026-05-08 15:15:00,6890.T,BASE,9579.5700,9600.0000,,,WEAK,0.600000,0.271539,2.600468,1,true,ENTRY_FILTER_VWAP_DIST>2%
2026-05-08 15:18:00,5016.T,BASE,5384.3790,5385.0000,,,WEAK,0.560000,0.271539,3.299720,1,true,ENTRY_FILTER_VWAP_DIST>2%
2026-05-08 15:24:00,5016.T,BASE,5395.3900,5398.0000,,,WEAK,0.476190,0.123426,3.504119,1,true,REGIME_FILTER_RISING_LT50
2026-05-08 15:30:00,5803.T,BASE,6555.5490,6582.0000,,,NORMAL,0.476190,0.197479,2.835740,2,true,REGIME_FILTER_RISING_LT50
